  input = module(input)
[59/70] mean_loss : 0.35
[59/70] mean_loss : 0.35
[60/70] mean_loss : 0.34
[60/70] mean_loss : 0.35
[61/70] mean_loss : 0.36
[61/70] mean_loss : 0.35
[62/70] mean_loss : 0.34
[62/70] mean_loss : 0.35
[63/70] mean_loss : 0.35
[63/70] mean_loss : 0.35
[64/70] mean_loss : 0.35
[64/70] mean_loss : 0.35
[65/70] mean_loss : 0.34
[65/70] mean_loss : 0.35
[66/70] mean_loss : 0.34
[66/70] mean_loss : 0.35
[67/70] mean_loss : 0.35
[67/70] mean_loss : 0.35
[68/70] mean_loss : 0.36
[68/70] mean_loss : 0.35
[69/70] mean_loss : 0.35
[69/70] mean_loss : 0.35
50.3
Error occurred
[0/70] mean_loss : 3.82
[0/70] mean_loss : 0.79
[1/70] mean_loss : 0.51
[1/70] mean_loss : 0.43
[2/70] mean_loss : 0.44
[2/70] mean_loss : 0.43
[3/70] mean_loss : 0.45
[3/70] mean_loss : 0.43
[4/70] mean_loss : 0.42
[4/70] mean_loss : 0.43
[5/70] mean_loss : 0.42
[5/70] mean_loss : 0.42
[6/70] mean_loss : 0.37
[6/70] mean_loss : 0.42
